bug_report,file,first_appear,last_appear,reason
https://bugzilla.mozilla.org/show_bug.cgi?id=1568397,js/src/vm/TypeInference.cpp,65,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1570358,gfx/2d/InlineTranslator.cpp,63,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1572838,browser/app/winlauncher/LauncherProcessWin.cpp,65,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1572838,toolkit/profile/nsToolkitProfileService.cpp,66,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1572838,toolkit/xre/nsAppRunner.cpp,67,67,
https://bugzilla.mozilla.org/show_bug.cgi?id=1548044,js/src/vm/NativeObject.cpp,63,68,
https://bugzilla.mozilla.org/show_bug.cgi?id=1548044,js/src/vm/TypeInference.cpp,63,68,
https://bugzilla.mozilla.org/show_bug.cgi?id=1561056,dom/base/nsContentAreaDragDrop.cpp,66,68,
https://bugzilla.mozilla.org/show_bug.cgi?id=1561056,dom/ipc/BrowserChild.cpp,68,68,
https://bugzilla.mozilla.org/show_bug.cgi?id=1561056,widget/gtk/nsDragService.cpp,68,68,
https://bugzilla.mozilla.org/show_bug.cgi?id=1561056,widget/nsDragServiceProxy.cpp,68,68,
https://bugzilla.mozilla.org/show_bug.cgi?id=1575217,netwerk/protocol/http/nsHttpTransaction.cpp,68,68,
https://bugzilla.mozilla.org/show_bug.cgi?id=1583684,dom/reporting/ReportingHeader.cpp,65,68,
https://bugzilla.mozilla.org/show_bug.cgi?id=1583684,xpcom/base/CycleCollectedJSContext.cpp,68,68,
https://bugzilla.mozilla.org/show_bug.cgi?id=1322864,dom/base/nsContentUtils.cpp,63,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1322864,dom/base/nsCopySupport.cpp,63,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1508776,security/nss/lib/softoken/pkcs11.c,63,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1508776,security/nss/lib/softoken/pkcs11u.c,63,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1510494,toolkit/components/maintenanceservice/maintenanceservice.cpp,63,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1510494,toolkit/components/maintenanceservice/workmonitor.cpp,68,69,
https://bugzilla.mozilla.org/show_bug.cgi?id=1510494,toolkit/mozapps/update/common/updatehelper.cpp,69,69,
