release,classifier,parameters,feature_type,technique,val_auc,accuracy,precision,recall,gmean,auc,f1,mcc,recall_u,gmean_pu,val_time,train_time,pred_time,recall_o,precision_o,fpr,fpr_o
82,rf,"{'max_depth': 14, 'max_features': 0.49736502605389693, 'max_leaf_nodes': 226, 'n_estimators': 499}",bert,manual_cleaning,0.962,0.88,0.011,0.867,0.098,0.937,0.022,0.09,0.0,6.221,6640.796,386.804,0.322,0.8666666666666667,0.011149228130360206,0.11956859898371874,0.11956859898371874
69,rf,"{'max_depth': 5, 'max_features': 0.01, 'max_leaf_nodes': 40, 'n_estimators': 426}",bert,biased,0.793,0.716,0.007,1.0,0.086,0.931,0.015,0.078,0.775,3.531,7007.226,29.232,6.889,0.8067226890756303,0.03528114663726571,0.28170629954109305,0.2766361049636421
66,rf,"{'max_depth': 5, 'max_features': 0.46714037620424753, 'max_leaf_nodes': 157, 'n_estimators': 284}",bert,baseline,0.692,0.553,0.007,0.829,0.075,0.791,0.014,0.065,0.915,1.534,6924.469,188.36,0.218,0.8918918918918919,0.031235210601041175,0.44610969387755106,0.4404518558364712
71,rf,"{'max_depth': 2, 'max_features': 0.02275340800912625, 'max_leaf_nodes': 301, 'n_estimators': 375}",bert,regularize,602.562,0.894,0.019,0.463,0.094,0.753,0.037,0.088,0.55,2.086,7145.331,9.581,0.224,0.5104166666666666,0.04929577464788732,0.1014146037029332,0.09885971335913801
78,rf,alpha_1.2,bert,propagation2,0.814,0.503,0.001,0.75,0.021,0.666,0.001,0.026,0.963,1.131,6388.585,679.572,0.354,0.9354838709677419,0.005920783993466721,0.4974593495934959,0.4961785386731886
82,rf,"{'max_depth': 11, 'max_features': 0.39728126632295235, 'max_leaf_nodes': 385, 'n_estimators': 272}",bert,baseline,0.93,0.812,0.004,0.533,0.049,0.757,0.009,0.035,0.0,1.516,7115.675,129.523,0.158,0.5333333333333333,0.004415011037527594,0.18707870994503784,0.18707870994503784
67,rf,"{'max_depth': 2, 'max_features': 0.03583919686131752, 'max_leaf_nodes': 356, 'n_estimators': 379}",bert,regularize,88.098,0.535,0.004,0.9,0.061,0.89,0.008,0.056,0.868,1.742,7335.92,11.954,0.187,0.8689655172413793,0.028597367226509306,0.46404399323181045,0.4586861000964527
69,rf,"{'max_depth': 2, 'max_features': 0.6909519862543569, 'max_leaf_nodes': 386, 'n_estimators': 139}",bert,regularize,41.611,0.848,0.013,0.9,0.106,0.933,0.025,0.096,0.618,5.431,7265.204,101.543,0.113,0.6554621848739496,0.05443126308443824,0.14758030871923233,0.14279692275266098
71,rf,"{'max_depth': 4, 'max_features': 0.11763621903197981, 'max_leaf_nodes': 30, 'n_estimators': 439}",bert,baseline,0.824,0.661,0.008,0.61,0.068,0.704,0.015,0.048,0.767,1.1,7345.851,72.685,0.282,0.6979166666666666,0.020539546290619253,0.33669648429373833,0.33423998326184745
71,rf,"{'max_depth': 4, 'max_features': 0.11763621903197981, 'max_leaf_nodes': 30, 'n_estimators': 439}",bert,adaptation,0.824,0.831,0.014,0.537,0.086,0.739,0.027,0.074,0.65,1.723,7348.905,45.533,0.263,0.59375,0.035337879727216366,0.16548783024755565,0.16277853331938485
71,rf,"{'max_depth': 4, 'max_features': 0.11763621903197981, 'max_leaf_nodes': 30, 'n_estimators': 439}",bert,biased,0.824,0.878,0.018,0.512,0.097,0.717,0.035,0.084,0.567,2.204,7350.565,51.776,5.39,0.53125,0.044386422976501305,0.11732889536093194,0.11486557171252221
82,rf,"{'max_depth': 11, 'max_features': 0.39728126632295235, 'max_leaf_nodes': 385, 'n_estimators': 272}",bert,biased,0.93,0.812,0.004,0.533,0.048,0.785,0.009,0.035,0.0,1.514,7244.67,84.983,4.313,0.5333333333333333,0.004407713498622589,0.1873898164471638,0.1873898164471638
76,rf,prune_by_noise_rate_0,bert,pruning,0.695,0.774,0.002,0.2,0.022,0.484,0.005,-0.013,0.093,0.181,5866.48,235.81,0.143,0.1111111111111111,0.0032497678737233053,0.2205912543625539,0.2212489694971146
82,rf,"{'max_depth': 11, 'max_features': 0.39728126632295235, 'max_leaf_nodes': 385, 'n_estimators': 272}",bert,adaptation,0.93,0.739,0.003,0.533,0.041,0.693,0.006,0.024,0.0,1.09,7285.47,134.942,0.199,0.5333333333333333,0.0031733439111463705,0.2606035466141242,0.2606035466141242
82,rf,"{'max_depth': 2, 'max_features': 0.6647310207048, 'max_leaf_nodes': 482, 'n_estimators': 413}",bert,regularize,702.405,0.66,0.003,0.733,0.05,0.813,0.007,0.033,0.0,1.578,7305.029,266.678,0.229,0.7333333333333333,0.003341433778857837,0.3402468111583532,0.3402468111583532
76,rf,prune_by_noise_rate_0,bert,flipping,0.695,0.773,0.003,0.24,0.026,0.497,0.005,-0.01,0.093,0.259,5878.137,250.538,0.143,0.12698412698412698,0.003686635944700461,0.222130979265038,0.2227947238252267
63,rf,alpha_0.8,bert,propagation1,0.813,0.861,0.026,0.627,0.127,0.818,0.05,0.123,0.563,2.967,7538.517,120.11,0.346,0.5748792270531401,0.0958904109589041,0.12995807803934212,0.12266316825188583
